ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
13	3-106-17/56รย	1.02E+13	บริษัท ไฮเทค พลาส จำกัด	นำตะกรันเหล็กมาผ่านกรรมวิธีการบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในอุตสาหกรรมหลอมเหล็กและอุตสาหกรรมก่อสร้าง และบดย่อยแผงวงจรอิเล็กทรอนิกส์	-	2	-	-	มาบข่า	นิคมพัฒนา	ระยอง	21180		46000000	20	120
14	3-106-5/46รย	1.02E+13	บริษัท เวิล์ด เวสท์ จำกัด	นำตัวทำละลายและน้ำมันใช้แล้วมาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ และล้างถังรรจุสารเคมีด้วยตัวทำละลาย บด และผลิตเม็ดพลาสติก คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว และนำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วมาผสมกับวัตถุดิบอื่น เพื่อผลิตเป็นอิฐบล็อคประสาน อิฐปูพื้น	21-เม.ย.	3	วัดมาบข่า	ทางหลวงหมายเลข 3191	มาบข่า	นิคมพัฒนา	ระยอง	21180		2250000	8	249.44
15	3-71-22/63รย	1.02E+13	บริษัท มัลติเฟส ออยล์ แอนด์ แก๊ส จำกัด	ผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องกำเนิดไฟฟ้า (Generator) และปั้ม (Pump)	52/15			ทางหลวงแผ่นดินสาย36	มาบข่า	นิคมพัฒนา	ระยอง	21180		130000000	7	3657.1
16	จ3-67(2)-4/47รย	2.02E+13	บริษัท ไอ-บีพีพี จำกัด	ผลิตเครื่องจักรที่ใช้ในการผลิตและตกแต่งภาชนะโลหะ	119	5			มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-893139	3000000	23	1058.91
17	3-53(4)-1/38รย	1.02E+13	บริษัท ทีพีบีไอ จำกัด (มหาชน) 	"ผลิตถุงพลาสติก ได้ปีละ 6,000 ตัน หลอมพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น หรือรูปทรงต่าง ๆ"	88/1	5	นิคมสร้างตนเอง 13	ทางหลวงหมายเลข 36	มะขามคู่	นิคมพัฒนา	ระยอง	21180		85800000	250	2787.88
18	3-105-58/47รย	1.02E+13	บริษัท ชื่นกอบชัย ลัคกี้ ออยล์ จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1	41	1	7	ทางหลวงสาย 36	มะขามคู่	นิคมพัฒนา	ระยอง	21180		8000000	20	1420
19	3-105-53/59รย	1.02E+13	บริษัท พีที ลัคกี้รีไซเคิล จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	382	1			มะขามคู่	นิคมพัฒนา	ระยอง	21180		13000000	18	80
20	จ3-68-13/59รย	2.02E+13	บริษัท สล็อท-นานไก จำกัด	ผลิต ประกอบ และซ่อมแซมเครื่องจักรสำหรับอุตสาหกรรมเคมี เช่น เครื่องแลกเปลี่ยนความร้อน	525	7			มะขามคู่	นิคมพัฒนา	ระยอง	21180		67500000	25	494.2
21	จ3-8(1)-34/59รย	2.02E+13	บริษัท ไทย ไฟน์ ฟู้ดส์ (ทีเอฟเอฟ) จำกัด	ทำอาหารจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้ ถนอมผัก พืช หรือผลไม้	403	4		ทางหลวงสาย 3376	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-893146-8	20000000	18	457.86
22	3-63(1)-4/59รย	1.02E+13	บริษัท บีเจซี เฮฟวี่ อินดัสทรี จำกัด (มหาชน)	ผลิตชิ้นส่วนและอุปกรณ์เหล็กที่ใช้ในโรงงานอุตสาหกรรมและก่อสร้างทุกชนิด	597	4			มะขามคู่	นิคมพัฒนา	ระยอง	21180		95890347	205	3900.72
23	จ3-100(1)-7/58รย	2.02E+13	บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน)	ขัดผิวโลหะ และพ่นสี	568/7	7	10	สาย 9	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-772462-6	104050000	40	131.9
24	จ3-63(2)-19/58รย	2.02E+13	บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน)	ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้าง	568/3	7	10		มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-772462-6	161681774	60	440.44
25	3-52(4)-1/39รย	1.02E+13	บริษัท ซีออน แอดวานซ์ โพลีมิกซ์ จำกัด	"ผสมยางสำเร็จรูป กำลังผลิต 10,000ตัน/ปี"	111/2	2	13	ทางหลวงสาย 3376	มะขามคู่	นิคมพัฒนา	ระยอง	21180		150000000	74	4741.86
26	3-53(5)-1/44รย	1.02E+13	บริษัท เอ็นซีอาร์-ทีอาร์บี อินดัสตรี้ จำกัด	ผลิตภัณฑ์ประเภทท่อพีวีซี	77/7	1			มะขามคู่	นิคมพัฒนา	ระยอง	21180		85000000	26	899.2
27	จ3-72-1/44รย	2.02E+13	บริษัท ไฟน์ คอมโปรแนนท์ (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนโลหะสำหรับผลิตภัณฑ์อิเล็กทรอนิกส์ เครื่องใช้ไฟฟ้า และยานพาหนะ	600	4	-	ทางหลวงหมายเลข 3376	มะขามคู่	นิคมพัฒนา	ระยอง	21180	0 3889 3746-9	100000000	180	2168.31
28	จ3-58(1)-81/48รย	2.02E+13	บริษัท กฤษฎ์ศุภณัฐ จำกัด	ผลิตคอนกรีตผสมเสร็จ	354	2		นิคมสาย 13 สายบ้านฉาง-ชากหมาก	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-603333	8000000	5	167
29	จ3-105-75/51รย	2.02E+13	บริษัท เอเอสเค อินเตอร์ เอ็นจิเนียริ่ง พลาสติก จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็น ของเสียอันตราย	32/4	1			มะขามคู่	นิคมพัฒนา	ระยอง	21180		25590000	63	607
30	จ3-73-10/50รย	2.02E+13	บริษัท อัลทิเมท พาร์ท จำกัด	ผลิตเครื่องแช่เยือกแข็ง	88/18	2	-	-	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-917210	0	22	107
31	3-63(2)-31/49รย	1.02E+13	บริษัท แทนเจ้นท์ จำกัด	"รับจ้างประกอบและสร้างโครงเหล็ก สำหรับงานก่อสร้างประตูน้ำ,สะพาน,การตัดพับม้วนโลหะ การกลึง ไสเจียรและเชื่อมโลหะทั่วไป"	540	6	6	ทางหลวงหมายเลข 36	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-606015-17	76520000	130	1836.15
32	จ3-63(2)-34/49รย	2.02E+13	บริษัท อาร์.เอ็ม.ซี.อินดัสเตรียล จำกัด	"ทำโครงสร้างเหล็ก,ท่อ,ถัง"	73	4			มะขามคู่	นิคมพัฒนา	ระยอง	21180		74050000	66	491.5
33	3-53(4)-7/57รย	1.02E+13	บริษัท ทีพีบีไอ จำกัด (มหาชน)	ผลิตถุงพลาสติก และทำเม็ดพลาสติก	โฉนดที่ดินเลขที่ 44333 เลขที่ดิน ป.รณ 219	5			มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-893578-81	84500000	92	5325
34	3-45(3)-1/37รย	1.02E+13	บริษัท ไทยโด โน-เกน เกน จำกัด	ผลิตผลิตภัณฑ์เคมี เช่น แล็กเกอร์	222	5		สุขุมวิท สาย 36	มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-893651-4	80000000	102	1025
35	จ3-63(2)-37/62รย	2.02E+13	บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน)	ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้าง	568/1	7			มะขามคู่	นิคมพัฒนา	ระยอง	21180	038-772-462-6	28052186	40	258.31
36	3-73-5/61รย	1.02E+13	บริษัท เอส เอ็น ซี แอตแลนติก วอเตอร์ ฮีตเตอร์ เอเชีย จำกัด	ผลิตเครื่องใช้ไฟฟ้า (เครื่องทำน้ำอุ่น)	88/19	2			มะขามคู่	นิคมพัฒนา	ระยอง	21180		98000000	49	4521.63
37	จ3-64(12)-26/63รย	2.02E+13	บริษัท เอสเอ็นซี ครีเอติวิตี้ แอนโทโลจี จำกัด	ประกอบชิ้นส่วนเหล็กขึ้นรูป	โฉนดที่ดินเลขที่ 1907 1917	2			มะขามคู่	นิคมพัฒนา	ระยอง	21180		117000000	35	498.5
38	3-53(1)-2/43รย	1.02E+13	บริษัท เอสเซนทรา อีสเทิร์น จำกัด	ผลิตภัณฑ์พลาสติก	111/5	2	-	สาย 3376	มะขามคู่	นิคมพัฒนา	ระยอง	21180		160000000	399	2666.71
39	จ3-64(12)-27/47ชบ	2.02E+13	บริษัท สเปซ สโตเรจ (เอสเอเออาร์) (ประเทศไทย) จำกัด	ผลิต/จำหน่ายอุปกรณ์จัดเก็บ และอุปกรณ์ลำเลียงและรับจ้างทำงานเกี่ยวกับโลหะทุกชนิด	41/60	1		บายพาส	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	038-782064	125000000	135	240
40	จ3-95(1)-65/58ชบ	2.02E+13	บี-ควิก สาขาชลบุรี บายพาส	ศูนย์บริการซ่อมแซมรถยนต์	61/71	1			บ้านสวน	เมืองชลบุรี	ชลบุรี	20000		17500000	11	59.3
41	ศ3-14-1/38ชบ	2.00E+11	ห้างหุ้นส่วนจำกัด โรงน้ำแข็งทิพธารา	ทำน้ำแข็งซอง เพิ่มขึ้นอีก 432 ซอง/วัน รวมกับของเดิมเป็น 1728 ซอง/วัน	116/108	3	-	สุขุมวิท	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	038-282062	7000000	12	1589
42	จ3-67(7)-13/49ชบ	2.02E+13	บริษัท กรีนทูล แอนด์ กรีนเทค (ประเทศไทย) จำกัด	ผลิตแม่พิมพ์อะไหล่รถยนต์และแม่พิมพ์ชิ้นส่วนอิเลคทรอนิคส์ ปั๊มโลหะขึ้นรูปอะไหล่รถยนต์และชิ้นส่วนอิเลคทรอนิคส์ และการประกอบเป็นเซท	127	10			บ้านสวน	เมืองชลบุรี	ชลบุรี	20000		28660000	80	264.17
43	จ3-53(9)-8/52ชบ	2.02E+13	บริษัท ไลอ้อน แพ็คกิ้ง จำกัด	บดเศษพลาสติก	31	10	-	-	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	086-1413883	9900000	15	95
44	จ3-41(2)-3/56ชบ	2.02E+13	บริษัท อี.ที.ซี.เอ็นจิเนียริ่ง จำกัด	ทำแม่พิมพ์โลหะ และกลึง เจาะ เชื่อมโลหะทั่วไป	29-ก.ย.	1			บ้านสวน	เมืองชลบุรี	ชลบุรี	20000		66000000	36	171
45	3-14-1/14ชบ	1.02E+13	บริษัท ทำน้ำแข็งชลบุรี จำกัด	"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 588 ซอง/วัน รวมเป็น 1,528 ซอง/วัน"	111	4	-	สุขุมวิท	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	282105	24769625	35	1162
46	3-51-1/33ชบ	1.02E+13	บริษัท ชลบุรีโชคถาวร จำกัด	หล่อดอกยาง และปะยาง	25/15	6		บายพาส	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	276168	10500000	28	194.3
47	จ3-53(1)-3/62ชบ	2.02E+13	บริษัท หงส์ยิพโมลด์ จำกัด	ทำผลิตภัณฑ์จากพลาสติก เช่น รองเท้า	15-ก.ค.	10			บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	092-2638233	70640000	46	355
48	จ3-10(1)-1/46ชบ	2.02E+13	มงกุฎเบเกอรี่	ทำขนมปัง-ขนมไข่	140	4		เศรษฐกิจ	บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	038-283979	7500000	25	114.8
49	จ3-87(1)-1/46ชบ	2.02E+13	บริษัท เอนี ปาร์ค พลัช จำกัด	ผลิตตุ๊กตาจากผ้าขนสัตว์	43/3	6			บ้านสวน	เมืองชลบุรี	ชลบุรี	20000	0-3826-0218-9	3630000	70	95
50	จ3-53(7)-3/60ชบ	2.02E+13	บริษัท เค.เอ็น.ไฮเทค จำกัด	ผลิตและรับจ้างทำชิ้นส่วนและอุปกรณ์รองเท้ากีฬา	34/8	2			นาป่า	เมืองชลบุรี	ชลบุรี	20000	033-002391-3	11000000	59	352.22
51	จ3-41(2)-1/58ชบ	2.02E+13	บริษัท พี.เทคโนโลยี จำกัด	ทำแม่พิมพ์โลหะ กลึง เจาะ กัด เชื่อม โลหะ	34/5	7			นาป่า	เมืองชลบุรี	ชลบุรี	20000		10000000	4	166
52	3-77(2)-1/39ชบ	1.02E+13	บริษัท บี.ที.โอโต้พาร์ต จำกัด	"ผลิตชิ้นส่วนอะไหล่รถยนต์ จักรยานยนต์ เครื่องยนต์ ไส้กรอง อากาศ และชิ้นส่วนเครื่องปรับอากาศ ได้ปีละ 550,000 ชุด , การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง และจักรยานยนต์ รถจักรยานยนต์สามล้อ หรือรถจักรยานยนต์สองล้อ "	59/1	2		บายพาส	นาป่า	เมืองชลบุรี	ชลบุรี	20000	"038-274787, 083-7060190"	161000000	255	4259.6
53	จ3-9(3)-1/51ชบ	2.02E+13	บริษัท เอกชัยพริกไทย จำกัด	ทำพริกขี้หนูป่่น พริกไทยป่น น้ำจิ้มไก่ เครื่องปรุงรส	4-ม.ค.	9		สุขประยูร	นาป่า	เมืองชลบุรี	ชลบุรี	20000	038-448000	4050000	13	231.28
54	จ3-58(1)-10/52ชบ	2.02E+13	บริษัท คงพัชร์ โลจิสติกส์ จำกัด	ผลิตคอนกรีตผสมเสร็จ	9	3	ประชาอุทิศ	ท้องคุ้ง-หนองรี	นาป่า	เมืองชลบุรี	ชลบุรี	20000	038-448644	5900000	2	81.34
55	จ3-41(2)-1/57ชบ	2.02E+13	บริษัท ทูล แอนด์ โมลด์ แอพพลิเคชั่น จำกัด	ทำแม่พิมโลหะ ซ่อมแม่พิมพ์โลหะ และทำชิ้นส่วนแม่พิมพ์โลหะ	27	3			นาป่า	เมืองชลบุรี	ชลบุรี	20000		29500000	14	205.4
56	จ3-34(1)-3/35ชบ	2.02E+13	ห้างหุ้นส่วนจำกัด บายพาสค้าไม้	ไสไม้	80	10		บายพาส	นาป่า	เมืองชลบุรี	ชลบุรี	20000		3550000	8	97.56
57	จ3-64(10)-1/46ชบ	2.02E+13	ล.สยามโครเมี่ยม	ชุบโลหะ	2-ก.ค.	10	บ้านไร่บน 1	สุขประยูร	นาป่า	เมืองชลบุรี	ชลบุรี	20000		6000000	13	127.66
58	น.72-4/2538-ญอน.	7.21E+13	บริษัท โทปี้ ฟาสท์เนอร์ส (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนโลหะสำหรับผลิตภัณฑ์อิเล็คทรอนิกส์ และยานยนต์	700/337			บางนา-ตราด กม.57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 3821 4401-3	136620000	50	0
59	น.71-9/2540-ญอน.	7.21E+13	บริษัท เอสอีดับเบิลยู ยูโรไดรฟ (ประเทศไทย) จำกัด	เกียร์มอเตอร์	700/456	7		บางนา-ตราด	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 3821 4022-6	197778000	35	1154
60	น.77(2)-3/2540-ญอน.	7.21E+13	บริษัท นิตตั้น (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนรถยนต์ และจักรยานยนต์ (ENGINE VALE)	700/44	6		บางนา-ตราด กิโลเมตรที่ 57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		824290000	320	4965.72
61	น.64(9)-1/2544-ญอน.	7.21E+13	บริษัท เอ็นอีไอเอส (ประเทศไทย) จำกัด	วงแหวนโลหะผสม (BRAZING FILLER METAL RINGS) และก้านโลหะ (RODS) ชนิดต่าง ๆ	700/436	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 3871 7095-7	36500000	19	75.22
62	น.15(1)-3/2545-ญอน.	7.21E+13	บริษัท ดีเอสเอ็ม นิวทริชั่นแนล โปรดักส์ (ประเทศไทย) จำกัด	ผลิตผลิตภัณฑ์สำหรับอุตสาหกรรมอาหารสัตว์	700/437	7		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		220700000	16	334.7
63	น.48(3)-1/2546-นอน.	8.21E+13	บริษัท เอจเลส (ประเทศไทย) จำกัด	OXYGEN ABSORBERS	700/323 นิคมอุตสาหกรรมอมตะนคร	6			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		217000000	183	1696.6
64	น.52(4)-3/2543-ญอน.	7.21E+13	บริษัท ไทย เอ็นโอเค จำกัด	ผลิตชิ้นส่วนยางสังเคราะห์ และพลาสติก และผลิตชิ้นส่วนหรืออุปกรณ์ของเครื่องยนต์ เครื่องจักร ยานยนต์ เครื่องใช้ไฟฟ้า และผลิตชิ้นส่วนโลหะปั๊มขึ้นรูป	700/452	7		บางนา-ตราด	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		806000000	263	3936.47
65	น.53(1)-2/2538-ญอน.	7.21E+13	บริษัท ชิราอิชิ (ประเทศไทย) จำกัด	ผลิตภัณฑ์พลาสติก	700/70	6			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 3821 4072	35017000	68	315.42
66	น.27(6)-1/2545-นอน.	8.21E+13	บริษัท นาโงย่า ยูกะ (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนอุปกรณ์ฉนวนกันเสียงสำหรับรถยนต์(SoundInsulationParts)	700/497	7		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		190300000	40	553.28
67	น.28(1)-8/2543-ญอน.	7.21E+13	บริษัท มอลลิเก้ เฮลท์ แคร์ (ประเทศไทย) จำกัด	ตัดเย็บเสื้อคลุมแพทย์ผ่าตัด แขนเสื้อชนิดพิเศษ และกางเกงชุดของแพทย์ผ่าตัด ส่วนประกอบเสื้อคลุมผ่าตัดสำหรับแพทย์ผ่าตัด พยาบาลช่วยผ่าตัด เช่น กระดาษเช็ดมืออนามัยเสริมใยไนล่อน กระดาษห่อหุ้มเสื้อคลุมผ่าตัด กระดาษย่นเพื่อการส่งออก	700/461	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 3845 4241	983600000	566	1628.65
68	น.63(2)-1/2557-นอน.	8.21E+13	บริษัท เซกิซุยจูชิ พลาเมทัล (ประเทศไทย) จำกัด	ผลิตเมทัลพลาสติกคอมโพสิทพาเนล(METALPLASTICCOMPOSITEPANEL)และเมทัลเรซินคอมโพสิทพาเนล(METALRESINCOMPOSITEPANEL)	700/403	7		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		126052000	6	269.93
69	จ3-95(1)-167/58ชบ	2.02E+13	บริษัท มาสด้า ชลบุรี จำกัด (มหาชน)	ซ่อมรถยนต์ ศูนย์บริการซ่อมรถยนต์ หรือส่วนประกอบของรถยนต์	115/9	6			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-765500	15130000	16	147
70	น.64(2)-3/2556-นอน.	8.21E+13	บริษัท ไทย นิชิยามะ เมทัล จำกัด	ผลิตชิ้นส่วนโลหะสำหรับเครื่องใช้ไฟฟ้าอิเลคทรอนิคส์	700/403	7		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		100000000	5	765.8
71	น.77(2)-5/2560-ญอน.	7.21E+13	บริษัท เอสวี พรีซิชั่น คอมโพเน้นท์ส (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนเครื่องปรับอากาศในรถยนต์	700/673	7	-	-	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	-	37750000	7	102.31
72	น.77(2)-1/2559-นอน.	8.21E+13	บริษัท วาลีโอ ออโตโมทิฟ (ประเทศไทย) จำกัด	ซื้อจำหน่ายและกระจายสินค้าของกลุ่มบริษัทวาลีโอสยามเทอร์มอลซิสเต็มส์จำกัดรวมทั้งเป็นศูนย์กระจายสินค้าระหว่างประเทศและผลิตชิ้นส่วนสำหรับโมดูลส่วนหน้ารวมทั้งประกอบโมดูลส่วนหน้าและชิ้นส่วนของโมดูลส่วนหน้า	700/424	7		บางนา-ตราดกม.57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-265284	409200000	36	1100.9
73	น.64(2)-5/2554-นอน.	8.21E+13	บริษัท เอ็นเคเอส ฟิลเตอร์ (ไทยแลนด์) จำกัด	ผลิตผลิตภัณฑ์ชิ้นส่วนอุปกรณ์เสริมวัตถุดิบที่เกี่ยวกับไส้กรองที่ใช้ในงานอุตสาหกรรมต่างๆงานโลหะและสแตนเลสต่างๆตัวกรองไอน้ำมันหรือสารเคมีต่างๆ(WIREMESHDEMISTER)งานตัดพับโลหะ(PUNCHINGMETAL)สแตนเลสต่างๆ	700/352	6		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		0	6	89.24
74	น.48(12)-1/2547-นอน.	8.21E+13	บริษัท ยูชิโร (ประเทศไทย) จำกัด	ผลิตและจำหน่ายสินค้าเคมีภัณฑ์สำหรับใช้ในอุตสาหกรรมเกี่ยวกับโลหะ เช่น น้ำยากันสนิม น้ำมันหล่อลื่น น้ำมันใช้สำรหับตัด กลึงและขึ้นรูปโลหะ	700/533	7	นิคมอุตสาหกรรมอมตะนคร	บางนา-ตราด กิโลเมตรที่ 57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0-3845-4873	0	0	133.8
75	จ3-105-31/51ชบ	2.02E+13	โกเฮงขนส่ง	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	43/1	3	-	-	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		220000	4	120
76	น.64(6)-1/2548-ญอน.	7.21E+13	บริษัท ที.เอส.เค.ฟอร์จิ้ง จำกัด	ผลิต ผลิตภัณฑ์โลหะด้วยวิธี DRAWING FORGING และ MACTHINING ผลิตชิ้นส่วนโลหะลวดเหล็กและเหล็กเพลาขาว ชนิดเป็นเส้นแท่ง หรือม้วนสำหรับชิ้นส่วนประกอบรถยนต์ และเครื่องใช้ภายในบ้าน	700/383	6			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-457707-9	877800000	201	3430.35
77	น.77(2)-1/2552-นอน.	8.21E+13	บริษัท โตโยต้า ทูโช ฟอร์คลิฟท์ (ไทยแลนด์) จำกัด	ซื้อขาย เช่า นำเข้า ส่งออก ซ่อมแซมดัดแปลงรถยก รถลาก ระบบเครื่องจักรและอุปกรณ์การจัดเก็บสินค้า ตลอดจนอะไหล่ต่างๆ	700/412	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		0	60	192
